---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 19-2  3.814e+02  [-19 1.079e-01 4.595e-02 3.201e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 19-3  3.857e+02  [-35 1.655e-02 7.047e-03 1.524e-02]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 19-4  3.895e+02  [-53 2.212e-03 9.415e-04 6.415e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 19-5  3.937e+02  [-67 4.110e-04 1.750e-04 3.120e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 20-1  3.962e+02  [0 1.000e+00 4.157e-01 6.281e-04]  [5 -5 85]
 NS 20-2  4.010e+02  [-19 1.067e-01 4.435e-02 2.562e-03]  !9 -1 91!  WARNING: The linear system solution has not converged
 NS 20-3  4.056e+02  [-35 1.617e-02 6.720e-03 1.297e-02]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 20-4  4.103e+02  [-53 2.152e-03 8.947e-04 6.849e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 20-5  4.143e+02  [-68 3.685e-04 1.532e-04 3.410e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 21-1  4.163e+02  [0 1.000e+00 4.067e-01 8.721e-04]  [4 -6 82]
 NS 21-2  4.201e+02  [-19 1.052e-01 4.279e-02 1.684e-03]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 21-3  4.239e+02  [-35 1.675e-02 6.811e-03 8.121e-03]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 21-4  4.279e+02  [-53 2.205e-03 8.966e-04 4.454e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 21-5  4.319e+02  [-68 3.745e-04 1.523e-04 1.854e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 22-1  4.339e+02  [0 1.000e+00 3.945e-01 9.547e-04]  [4 -6 83]
 NS 22-2  4.379e+02  [-19 1.045e-01 4.123e-02 8.006e-04]  [8 -2 89]
 NS 22-3  4.419e+02  [-35 1.662e-02 6.556e-03 3.731e-03]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 22-4  4.460e+02  [-52 2.299e-03 9.068e-04 2.076e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 22-5  4.500e+02  [-68 3.792e-04 1.496e-04 8.106e-02]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 23-1  4.520e+02  [0 1.000e+00 3.801e-01 9.163e-04]  [4 -6 82]
 NS 23-2  4.552e+02  [-19 1.056e-01 4.012e-02 8.667e-04]  [7 -4 88]
